title,content,tokens
Page 1,Alabama Course of Study English Language Arts 2021 Alabama Course of Study: English Language Arts,20
Page 2,"For information regarding the Alabama Course of Study: English Language Arts and other materials, contact: Alabama State Department of Education Instructional Services Section 3345 Gordon Persons Building Montgomery, Alabama P.O. Box 302101 Montgomery, AL 36130-2101 (334) 694-4768 ©2021 Alabama State Department of Education Eric G. Mackey, State Superintendent of Education The Alabama State Board of Education and the Alabama State Department of Education do not discriminate on the basis of race, color, disability, sex, religion, national origin, or age in their programs, activities, or employment and provide equal access to the Boy Scouts and other designated youth groups. The following person is responsible for handling inquiries regarding the non-discrimination policies: Title IX Coordinator, Alabama State Department of Education, P.O. Box 302101, Montgomery, AL 36130-2101, telephone (334) 694-4717. 2021 Alabama Course of Study: English Language Arts ii",201
Page 3,"2021 Alabama Course of Study: English Language Arts iii STATE SUPERINTENDENT OF EDUCATION’S MESSAGE Dear Educator: The 2021 Alabama Course of Study: English Language Arts presents a sound framework designed to prepare students for the English Language Arts demands in both college studies and careers. Within this document is a set of challenging content standards for students at each grade level. Alabama State Department of Education (ALSDE) assessments are based on these standards, and Alabama Achieves: A Strategic Plan for a New Decade defines the accountability measures enacted to ensure student growth. Student success depends on local system leadership, school leadership, and effective classroom instruction. Important local decisions include how students will accomplish these standards, in what sequence teachers will address them, and how much time will be allotted for instruction of each standard. These decisions are as significant as the Course of Study’s indications of what students need to know and be able to do. I encourage each system to use these standards, ALSDE Instructional Supports, and Performance-Level Descriptors to craft local curriculum guides that determine how students will achieve these standards and perhaps go beyond them. These standards are based on a foundation provided by the Revised 2 016 Alabama Course of Study: English Language Arts, the National Assessment of Educational Progress (NAEP), the National Council of Teachers of English (NCTE), Alabama Achieves: A Strategic Plan for a New Decade, Alabama Literacy Act Implementation Guide , the Alabama Dyslexia Resource Guide, and English Language Arts standards in other states. Content standards are designed not only to meet English Language Arts classroom expectations, but also to enhance student performance in other content areas. Eric G. Mackey State Superintendent of Education MEMBERS of the ALABAMA STATE BOARD OF EDUCATION Governor Kay Ivey President of the State Board of Education District I. Jackie Zeigler Vice Pr esident II. Tracie W est III. Stephanie Bell IV . Yvette M. Richardson, EdD President Pro T em V .Tonya S. Chestnut, EdD VI. Cynthia McCarty, PhD VII. Belinda McRae VIII. Wayne Reynolds, EdD State Superintendent Eric G. Mackey Secretary and Executive Officer",460
Page 4,"Alabama Course of Study: English Language Arts Table of Contents PREF ACE vi ACKNOWLEDGMENTS vii GENERAL INTRODUCTION 1 CONCEPTUAL FRAMEWORK 4 SYNOPSIS OF LAWS, REGULA TIONS , AND RESOLUTIONS RELA TING TO ENGLISH LANGUAGE ARTS 7 POSITION STATEMENTS 10 DIRECTIONS FOR INTERPRETING CONTENT STANDARDS 16 MINIMUM REQUIRED CONTENT GRADES K-3 OVER VIEW 22 KINDERGAR TEN 24 GRADE 1 33 GRADE 2 4 3 GRADE 3 5 5 GRADES 4-5 OVER VIEW 6 6 GRADE 4 6 8 GRADE 5 7 7 2021 Alabama Course of Study: English Language Arts iv",161
Page 5,GRADES 6-8 OVER VIEW 8 5 GRADE 6 8 7 GRADE 7 9 4 GRADE 8 10 1 GRADES 9-12 OVER VIEW 10 8 GRADE 9 11 0 GRADE 10 11 6 GRADE 11 12 2 GRADE 12 12 8 BIBLIOGRAPHY 13 4 2021 Alabama Course of Study: English Language Arts v,77
Page 6,"PREFACE The 2021 Alabama Course of Study: English Language Art s provides the framework for the K-12 study of English Language Arts in Alabama’ s public schools. Content standards in this document are minimum and required ( Code of Alabama , 1975, §16-35-4), fundamental and specific, but not exhaustive. The course of study provides the foundation on which local education agencies can build a robust learning sequence. The standards encourage a broad view of literacy that promotes knowledge-building across categories and subjects, making integration of content and collaboration among educators much easier to achieve. The standards in the 2021 Alabama Course of Study: English Language Arts are a departure from the previous standards. The 2021 standards provide a comprehensive foundation for Kinder garten through Grade 3 literacy , in accordance with the Alabama Literacy Act. The standards set high expectations for student learning in all grades by requiring more attention to foundational reading, explicitly teaching comprehension skills for all text genres, and encouraging the development of advanced reading through increasing levels of complexity in literary and informational texts. When adopting local curriculum, school systems may create additional content standards to reflect local philosophies. School systems should add implementation guidelines, resources, and activities which are beyond the scope of this document. The 2020-2021 Alabama English Language Arts Course of Study Committee and Task Force conducted extensive research during the development of this Course of Study , analyzing the Revised 2016 Alabama Course of Study: English Language Arts and standards from other states while considering and incorporating guidance from the latest NAEP Reading and Writing Frameworks. Requirements of the Alabama Literacy Act are fully incorporated. Recommendations from the National Council of Teachers of English and articles in professional journals informed the writing of the standards. The Committee and Task Force solicited and responded to public input from interested individuals, ELA experts, and advocacy organizations throughout the state, then incorporated many of their suggestions into the standards. Special Education teachers and administrators, who were selected as members of the Committee and Task Force, collaborated in crafting standards at every grade level. Together the group developed what members believe to be the best Kinder garten through Grade 12 English Language Arts Course of Study for Alabama’ s students. 2021 Alabama Course of Study: English Language Arts vi",447
Page 7,"vii 2021 Alabama Course of Study: English Language Arts ACKNOWLEDGMENTS This document was developed by the 2020- 2021 English Language Arts Committee and Task Force, composed of Grades K -12 and college educators appointed by the Alabama State Board of Education and business and professional persons appointed by the Governor (Code of Alabama, 1975, §16- 35-1). The Committee and Task Force began work in February of 2020 and submitted the document to the Alabama State Board of Education for adoption at its March 2021 meeting. Engli sh Language Arts Course of Study Committee and Task Force Chair: Michael J. Daria, EdD, Superintendent, Tuscaloosa City Schools Gina Allred, MEd, Special Education Coordinator, Lamar County Schools Taylor Paige Biggs, M S, Teacher, Etowah County Schools Candice K. Byers, EdS, Teacher, Odenville Middle School, St. Clair County Schools Nanette T. Clark, MA, Reading Specialist, Parkside School, Cullman County Schools Kenny W. Clevenger, EdS, Principal, Glencoe Middle School, Etowah County Schools Julie J. Cordell, EdS , Assistant Principal, Marshall County Schools, and Adjunct Instructor, Snead State Community College. Art S. Culpepper, MA, Teacher, Williamson High School, Mobile County Public School System Rochelle Duebelt -McKenney, MSEd, Teacher, Ban ks School, Pike County Schools Erica M. Griffin, EdS, English Content Director, Advanced Placement, A+ College Ready Regina M. Griffin, MS, Curriculum and Data Coach, Martha Gaskins Elementary School, Birmingham City Schools Jane L. Haithcock , EdS, NBCT, Teacher, Liberty Middle School, Madison City Schools Kimberly B. Hargett, MAEd, CALT, Regional Literacy Specialist, Alabama Reading Initiative, Region 2, Hartselle",398
Page 8,"viii 2021 Alabama Course of Study: English Language Arts Meredith C. Hayworth, MEd , Teacher, Walker Elementary School, Tuscaloosa County Schools Tamra W. Higginbotham, MEd, Teacher, Cahaba Elementary School, Trussville City Schools Amy E. Hoaglund, EdD, Professor, Samford University Laci D. Holden, BS, NBCT , Reading Specialist, Gwin Elementary School, Hoover City Schools Mary Hooks , MEd, Vice President, Macon County BOE, District 4 Director AASB Autumm M. Jeter, EdD, Superintendent, Bessemer City Schools Latrise P. Johnson, PhD, Associate Professor of Secondary English Language Arts and Literacy, University of Alabama Matt M. Johnson, EdD, Director of Curriculum, University Charter School Donny Jones , Chief Operating Officer, Chamber of Commerce of West Alabama, Executive Director of West Alabama Works, Tuscaloosa Haley King, BS, Teacher, Luverne School, Crenshaw Count y Schools Lauren L. Kirk, MEd, Teacher, Edgewood Elementary School, Selma City Schools Rodriquez Leonard, MA, Teacher, Ramsay International Baccalaureate High School, Birmingham City Schools Cliff McCollum, BA, Director of Constituent Services, Baldwin County Legislative Delegation Courtney Meadows, Senior Pastor, Hutchinson Missionary Baptist Church, Montgomery, AL Lilian W. Mina, PhD, Honors Associate Professor of English, Rhetoric and Composition, Auburn University at Montgomery Amy B. O’Rear, EdS, NBCT, Assistant Principal, Jasper Junior High School, Jasper City Schools Naomi J. Pryor, MA Teacher, Greenville High School, Butler County Schools Darren A. Ramalho, MA, Founding Head of School, Breakthrough Charter School, Marion Lela A. Roberts, MA, Teacher, Eufaula Elementary School, Eufaula City Schools Julee F. Rodgers, MA, NBCT, Teacher, Spain Park High School, Hoover City Schools Joy Ross, EdS, Special Education Teacher, Phenix City Schools Linda T. Ruffin, EdS, Teacher, Mobile County Training Middle School, Mobile County Public School System",466
Page 9,"April M. Sanders, PhD, Associate Professor , Spring Hill College Aimee L. Scrivner , MEd, NBCT , Teacher , Academy for Academics and Arts, Huntsville City Schools Alyssa M. Stites Ikner , MEd, Assistant Principal, J.U. Blacksher High School, Monroe County Public Schools Pamela J. Walke r, BS, English Content Director Grades 6-10, A+ College Ready Kathy A. Watson, EdS, Special Education Teacher , Sylacauga City Schools Ginger H. Weygand, MA, Elementary Curriculum Coordinator, Opelika City Schools Appreciation is extended to Rhonda Ayers, Regional Literacy Specialist, Alabama Reading Initiative; xDr. xBrooke xA. xBurks, Department xChairx and xProfesso r, xCurriculum, xInstruction, xand xTechnology,x Auburn xUniversityx at Montgomery; xDr. Christie Calhoun, Assistant Professor, Jacksonville State University School of Education; Dr. Tammy Cook , Associate Professor and Secondary Education Program Coordinator, University of Montevallo; Mark Dixon, President, A+ Education Partnership; Dr. Carol Donovan, Professor, Literacy Education Director, Belser Parton Literacy Center, The University of Alabama; Jake Easter , Analyst, Governor’s Office of Education and Workforce Transformation; Dr. Gloria Good-Boutte, Educational Consultant, Lee County Youth Development Center; Farrah Hayes, Division Chair of Languages and Humanities, Gadsden State Community College; John Henderson , Teacher, Oak Mountain Intermediate School, Shelby County Board of Education; Mary Louise Hoffman , Teacher, Whitley Elementary School, Mobile County Public School System; Janet Kaylor , Literacy and Dyslexia Coordinator, Huntsville City Schools; Dr. Cailin Kerch, Clinical Assistant Professor, The University of Alabama; Dr. Michell Lane, Reading Specialist, Belgreen High School, Franklin County Schools; Laurie Lee, Research Associate, Florida Center for Reading Research; Renee McManus, Curriculum Specialist, Mobile County Public School System; Susan Mitchell , Early Learning Consultant; Elizabeth Murray, Reading Interventionist, Arcadia Elementary School, Tuscaloosa City Schools; Dr. Paige Paquette , Associate Professor for Secondary English Language Arts, Troy University; Gladys Schaefer , President, International Dyslexia Association, Alabama; Amber Smalley , School Improvement Specialist, Mobile County Public School System; Dr. Pamela Truelove-Walker , Senior Director, Early Learning and School Readiness, Alabama Department of Early Childhood Education; Kristy Watkins, LETRS © Trainer, Curriculum Coordinator, Jasper City Schools; Sharon Watts, English Instructor, H. Councill Trenholm State Community College; Melinda Willingham, Regional Reading Specialist, Alabama Reading Initiative; Dyslexia Advisory Council; Alabama Campaign for Grade Level Reading; Literacy Task Force; Committee on Grade Level Reading; and Alabama Department of Early Childhood Education, who served as content reviewers of this document. 2021 Alabama Course of Study: English Language Arts ix",641
Page 10,"State Department of Education personnel who managed the development process were Eric G. Mackey, EdD , State Superintendent of Education Daniel Boyd, PhD , Deputy State Superintendent Elisabeth Davis, EdD , Assistant State Superintendent, Office of Student Learning Tracye Strichik, PhD, Director, Alabama Reading Initiative Karen Porter, MEd, Program Coordinator, Alabama Reading Initiative (retired) Sean J. Stevens , MEd, Program Coordinator, Instructional Services Cathy Jones , MS, Executive Secretary, State Courses of Study Committees, Instructional Services Jessica Morton, EdS, Education Specialist, Instructional Services Hailey Ridgeway, MA, Education Specialist, Educational Technology Demekia Maddox, Administrative Support Assistant, Instructional Services Catherine Wilbourne, MEd, Editor, Courses of Study Carol Sprayberry, MEd, NBCT, Consultant, Courses of Study The State Department of Education specialists who assisted the Task Force in developing the document were Kimberly Baker, MSEd , Education Specialist, Special Education Services Reeda Betts, MS, Education Administrator, Alabama Reading Initiative Vickie Chappelle, MEd, Education Specialist, Alabama Reading Initiative Cristin Dillard, EdS, Education Administrator, Instructional Services Susan Goldthwaite, MEd, Education Administrator, Special Education Services Elizabeth Greene, MEd, Education Specialist, Special Education Services Pam Ivey, MEd, Education Specialist, Special Education Services Michele Lee, EdS, NBCT, Education Specialist, Alabama Reading Initiative Celeste Minor, EdS, Education Specialist, Special Education Services Elisabeth Newell, EdS, Education Specialist, Special Education Services Denise Perkins, MEd, Education Specialist, Alabama Reading Initiative Karen Rutledge-Bell, MEd, Education Specialist, Alabama Reading Initiative Tina Sanders, EdS, Education Administrator, Special Education Services Regina Sankey, EdS, Education Specialist, Special Education Services 2021 Alabama Course of Study: English Language Arts x",397
